STATE,CO22022
ALABAMA,57021949
ALASKA,3054912
ARIZONA,37122021
ARKANSAS,34791294
CALIFORNIA,46336381
COLORADO,33826985
CONNECTICUT,11136421
DELAWARE,2386781
DISTRICT OF COLUMBIA,44384
FLORIDA,105189782
GEORGIA,46621517
HAWAII,6760327
IDAHO,2017322
ILLINOIS,54486102
INDIANA,76796176
IOWA,22505200
KANSAS,25505269
KENTUCKY,59468849
LOUISIANA,43039428
MAINE,2148242
MARYLAND,11828157
MASSACHUSETTS,8953024
MICHIGAN,58850117
MINNESOTA,22650406
MISSISSIPPI,30034225
MISSOURI,59767218
MONTANA,13862077
NEBRASKA,22322095
NEVADA,14159593
NEW HAMPSHIRE,2842128
NEW JERSEY,15824917
NEW MEXICO,20136734
NEW YORK,30477885
NORTH CAROLINA,43938895
NORTH DAKOTA,29111074
OHIO,78504299
OKLAHOMA,29056376
OREGON,9133437
PENNSYLVANIA,85101152
PUERTO RICO,14151717
RHODE ISLAND,3165921
SOUTH CAROLINA,27463247
SOUTH DAKOTA,2909761
TENNESSEE,27063007
TEXAS,213589517
UTAH,29820780
VERMONT,38881
VIRGINIA,26281686
WASHINGTON,10779073
WEST VIRGINIA,55500793
WISCONSIN,35863357
WYOMING,41693548